name,hiredate,08depcode,08job,eightsal,eightOT,eightcals,eightTotal,09depcode,09job,ninesal,nineOT,ninecals,nineTotal,10depcode,10job,tensal,tenOT,tencals,tenTotal,11depcode,11job,elevensal,elevenOT,elevencals,elevenTotal,12depcode,12job,twelvesal,twelveOT,twelvecals,twelveTotal,13depcode,13job,thirteensal,thirteenOT,thirteencals,thirteenTotal
p57,8/17/1982,1,Police Sergeant                                   ,68621.82,13066.45,13066.45,81688.27,1,Police Sergeant                                   ,71015.15,9296.29,9296.29,80311.44,1,Police Sergeant                                   ,72765.47,6894.26,6894.26,79659.73,1,Police Sergeant                                   ,72765.47,840.3,840.3,73605.77,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p58,10/27/1982,1,Police Sergeant                                   ,66972.16,1943.11,1943.11,68915.27,1,Police Sergeant                                   ,69308.04,1326.35,1326.35,70634.39,1,Police Sergeant                                   ,71015.15,1365.67,1365.67,72380.82,1,Police Sergeant                                   ,71015.15,17.07,17.07,71032.22,1,Police Sergeant                                   ,71015.15,34.14,34.14,71049.29,1,N/A,0,0,NaN,0
p59,11/1/1982,1,N/A,0,0,NaN,0,1,Police Officer                                    ,58466.02,402.9,402.9,58868.92,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p60,11/29/1982,1,Support Technician                                ,36634.51,5588.62,5588.62,42223.13,1,Support Technician                                ,37925.53,565.23,565.23,38490.76,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p61,12/1/1982,1,Police Officer                                    ,57887.15,4223.17,4223.17,62110.32,1,Police Officer                                    ,58466.02,5270.33,5270.33,63736.35,1,Police Officer                                    ,58466.02,6724.94,6724.94,65190.96,1,Police Officer                                    ,58466.02,1096.23,1096.23,59562.25,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p62,12/3/1982,1,Police Officer                                    ,57887.15,1374.12,1374.12,59261.27,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p63,2/17/1983,1,Police Officer                                    ,57887.15,619.22,619.22,58506.37,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p64,4/6/1983,1,Police Officer                                    ,57887.15,8909.61,8909.61,66796.76,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p65,4/11/1983,1,Police Officer                                    ,57887.15,5860.95,5860.95,63748.1,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p66,4/11/1983,1,Police Sergeant                                   ,73820.81,25650.73,25650.73,99471.54,1,Police Sergeant                                   ,74559.02,1120.16,1120.16,75679.18,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p67,4/11/1983,1,Police Officer                                    ,57887.15,1148.09,1148.09,59035.24,1,Police Officer                                    ,58466.02,777.68,777.68,59243.7,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p68,4/18/1983,1,Humane Officer I                                  ,43837.49,608.56,608.56,44446.05,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p69,5/25/1983,1,Administrative Assistant I                        ,45151.9,2176.44,2176.44,47328.34,1,Administrative Assistant I                        ,46743.11,3070.67,3070.67,49813.78,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,Administrative Assistant I                        ,47912.23,86.38,86.38,47998.61,1,Administrative Assistant I                        ,48872.4,41.12,41.12,48913.52
p70,5/26/1983,1,Police Officer                                    ,57887.15,15698.28,15698.28,73585.43,1,Police Sergeant                                   ,62884.49,13363.19,13363.19,76247.68,1,Police Sergeant                                   ,64431.22,11964.62,11964.62,76395.84,1,Police Sergeant                                   ,64431.22,10082.99,10082.99,74514.21,1,Police Sergeant                                   ,64431.22,2775.81,2775.81,67207.03,1,N/A,0,0,NaN,0
p71,5/31/1983,1,Police Officer                                    ,57887.15,4594.17,4594.17,62481.32,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
